id,label,source,title,create_date,news_date,source_comment_num,topic_word,content,last_time,r_weight
1,sport,Instagram, 入乡随俗！海沃德社媒祝妻子七夕快乐 ,2019-08-07 14:00:05,2019-08-07 13:51:09,5,,"[虎扑8月7日讯 波士顿凯尔特人队前锋戈登-海沃德今天在个人Instagram上传了一张自己与妻子的照片（见新闻配图）。, “既然我现在在中国，那么我想对我唯一的情人说七夕快乐@robynmhayward（海沃德妻子）！”海沃德写道。, 海沃德目前正在中国参加2019中国行活动，2018-19赛季常规赛，海沃德场均上场25.9分钟，得到11.5分4.5篮板3.4助攻；季后赛场均出场29.7分钟，得到9.6分4.0篮板2.4助攻。]",188960.0,0.0032058168571531304
2,sport,Twitter, 保罗吐槽NCAA新规：人生经历和文凭一样重要 ,2019-08-07 14:00:07,2019-08-07 12:45:29,8,,"[虎扑8月7日讯 近日NCAA发布最新规定，对那些大学球员“试水NBA选秀”而签约的经纪人做出以下规定：, 1.获得学士学位；, 2.获得至少三年的NBPA球员工会认证；, 3.通过印第安纳波利斯的NCAA办公处的现场考试。, 雷霆球员克里斯-保罗在推特上对新规发表了不同的意见，他写道：“我完完全全不同意NCAA的决定，有些人生经历不说更有价值，但至少和文凭的价值是相当的。你们需要重新考虑这项条款，太疯狂了！”, 相关阅读：, ]",192900.0,0.005405607788244398
3,sport,NBC, 科尔：美国队训练营经历可以成为福克斯继续进步的铺垫 ,2019-08-07 14:00:09,2019-08-07 12:45:00,1,,"[虎扑8月7日讯 在今日的美国男篮训练营上，美国男篮助教、勇士主教练史蒂夫-科尔接受记者采访，谈到了国王球员达龙-福克斯和哈里森-巴恩斯。, “我认为对他（福克斯）来说这是一次很棒的经历，”科尔说，“达龙已经是一名非常出色的NBA球员了，但他还能再上升到另一个水平。和来自联盟各地球队的球员一起打球，接受格雷格-波波维奇的指导，并为你的国家效力，这对每个人来说都是一次非常棒的经历。但对于像达龙这样的人来说尤其如此，我认为他有机会成为全明星级别的球员，这将是一个重要的铺垫。”, 被问及巴恩斯这样的老将对球队的作用时，科尔表示：“作用非常大，他曾经在三年前的奥运会阵容里，而今年夏天的这支美国队非常年轻。能拥有哈里森和PJ-塔克这样经验丰富的老将能为年轻人指引道路。”]",192929.0,0.0
4,sport,NBA官网, 卢比奥：我能帮助艾顿和布克达到他们应该达到的高度 ,2019-08-07 14:00:10,2019-08-07 12:38:25,5,,"[虎扑8月7日讯 太阳新援里基-卢比奥在近日接受采访时表示，他已经与新队友德文-布克、德安德烈-艾顿进行了交流，并且非常期待和他们并肩作战。, “我能帮助他们达到他们应该达到的高度，”卢比奥说道，“德安德烈和德文-布克，过去这些天我一直在和他们交流，他们也非常兴奋，我已经迫不及待踏上赛场与他们并肩作战了。”, 太阳主教练蒙蒂-威廉姆斯表示：“当你拥有一个像里基这样的家伙时，他会让球队中的每个人都打得更加高效。作为一名主教练，你会希望场上的一号位球员能够梳理进攻，里基显然能够做到这一点，我认为他也能够让我的工作变得更出色，我们已经进行了一些深刻的对话，就是去了解他是如何看待篮球比赛的。”, “我认为德文会打得比之前更高效，他现在已经是一名非常出色的球员了。当你得到像里基这样一名控球后卫时，尽管在NBA中没有一件事是轻松的，但一名出色的控球后卫能够让事情变得简单很多，能够帮助你在面对对手严密防守时打出表现，这样的防守强度正是德文需要面对的。”威廉姆斯补充道。, 威廉姆斯同时表示，卢比奥的存在能够帮助凯利-乌布雷在攻防转换时表现得更出色。, “我认为当你拥有像里基这样的控球后卫和凯利这样的家伙时，他们会在打转换进攻时跑起来，并且打成回合，这会让我的工作更加轻松，我能够坐在场下看着我们的球员建立我们自己的进攻文化。在防守端，里基和凯利这些家伙能够错位换防，时刻保持在对手身前。”威廉姆斯说道。, 据此前The Athletic记者Shams Charania报道，多位消息人士透露，里基-卢比奥与太阳达成3年5100万美元合同。, 2018-19赛季常规赛，卢比奥场均上场27.9分钟，得到12.7分3.6篮板6.1助攻1.34抢断，季后赛场均上场33.6分钟，得到15.4分3.2篮板8.6助攻2.40抢断。]",193324.0,0.003076735073929659
5,sport,体育画报, 韦德：我从未招募球员，乐于帮助年轻球员，望其比我更强 ,2019-08-07 14:00:12,2019-08-07 12:27:24,7,,"[虎扑8月7日讯 近日，热火名宿德维恩-韦德举办了其个人第二次“The Invitational”年度篮球训练营，参加训练营的是一些年轻的NBA球员，包括国王后卫达龙-福克斯、太阳后卫德文-布克，公牛新秀科比-怀特等等。训练营为期一周，韦德将向这些年轻球员传授自己在场上和场外方面的经验。期间，韦德接受了《体育画报》的采访。, 谈到是否曾经招募球员时，韦德说：“从来没有过。我从来不需要招募任何人来热火。我不需要招募沙奎尔-奥尼尔，他自己来了。我不需要招募勒布朗-詹姆斯和克里斯-波什，在我们组队这件事上，更重要的是我们可以一起达成怎样的成就，而非我们要在哪支球队，如果有人来找我并问我的想法，我会告诉他们我的见解。但我从来不需要招募别人来热火，我认为那只是社交媒体上的流言而已，是别人的谈资。对我来说那是很滑稽的。”, 在被问到如果勒布朗-詹姆斯打电话对他说，需要他加入球队场均出场11分钟左右，他会对詹姆斯说什么时，韦德说：“我做不了这件事，但是我很确定联盟里有人完全能胜任这件事，不过不是我。”, 谈到自己希望从The Invitational训练营中收获什么时，韦德说：“这是一个很棒的问题。不管是不是从慈善角度出发，如果你可以改变一个人的一天或是一生，这会让你个人感觉良好。你做这件事当然是源于内心的善意，但是这会让你个人的内心感觉良好。得知我能回馈下一代，这让我很高兴。下一代中有一些球员会比我更优秀，有一些球员会进入名人堂。如果有人说：‘德维恩-韦德教了我这些，以及那些。’人们的反应会是：‘什么？他比德维恩-韦德强多了。’但是能够对比赛产生影响，帮助下一代球员们以一种不同的方式思考人生和比赛，这是我的目标。对于任何向我寻求帮助的人，我都会像我为我儿子所做的那样，告诉他们我收集到的所有信息。我希望下一代球员会比我体型更健壮，比我更优秀，速度更快，这是我的目标。”, 在其职业生涯中，韦德共出场1054次常规赛，场均出场33.9分钟，得到22.0分4.7篮板5.4助攻1.54抢断0.84盖帽。]",193985.0,0.00458683463590338
6,sport,The Athletic, 林书豪致质疑者：展示自己的弱点是强者的特质之一 ,2019-08-07 14:00:14,2019-08-07 12:00:43,2,,"[虎扑8月7日讯 此前NBA球员林书豪在中国台湾参加一个名叫“等待的艺术”的分享会时谈到了自己目前所面临的个人境遇。相关言论在社交媒体引起热议和共鸣，也有质疑者认为林书豪在无病呻吟，指出他实际上已经拥有了一个九年长的成功的生涯。近日林书豪在上海的活动中谈到了此前的演讲，并对质疑者做出回应。, “我觉得展示自己的弱点是强者的特质之一，”林书豪在上海一场哈佛中心活动中说道。“很讽刺，承认自己的弱点就是最勇敢的一件事。谁没有弱点呢？我们都有，但把它展示出来就是你能做的最勇敢的事。”, “我做这件事有我自己的考虑。如果把大家引导到了错误的方向，我很抱歉。但无论怎么说，我清楚自己经历了什么，我清楚自己跨过了哪些阻碍，我也知道自己能成为什么样的球员，清楚自己远没有达到那种程度。所以这就是我要继续去做的，追逐最好的自己，成为最好的自己。”, 谈到在中国台湾节目中的演讲，林书豪表示他是有意在舞台上展露出自己的脆弱的一面。林书豪说道：“我知道走上讲台，自己肯定会情绪崩溃，你懂吗。我知道这是不可避免的，但我很乐意这样去做，因为这也是我想要传递的信息。我们都是人，没有人是完美的，我们都在拼搏，追逐自己的梦想。我们也常常失败，但经历这些，上帝仍在我们这一边。”, “我经历的很多糟糕的情况最后都变成了使我受益的事。我知道经历的所有困境都是有原因的，所以尽管我正在经历低谷，看不见自己劳动的回报，付出却没有收获，但我仍任相信自己能继续坚持下去。一切都是有原因的。”, 林书豪表示自己不会再看网上大家对自己评价，他会用手机发布消息，然后就远离它。林书豪说道：“我知道自己想成为什么样的人，我知道自己的能力，可能原因是长这么大没有几个教练信任我，没有什么人愿意给我机会。得到的那些机会更像是本就属于我，或者来自我最最亲近的家人和朋友。对我而言，我习惯于屏蔽外界的声音，甚至是上周（台湾演讲后），我没有意识到这引起了怎样的回声，大家如何讨论。这不重要，因为我知道自己要上台的原因，我知道自己说那些话的原因，我能体会自己的感受。”, “我觉得我要传递的一个信息是：兄弟，去尝试，不要害怕失败。重新站起来，再次尝试，再次失败也无妨，这就是生活……当你经历了这些，你就会发现，‘我不是一个人在战斗’，你知道吗？我说不清有多少人给我发消息，或者停下自己的事来跟我说：‘兄弟，我被触动了，我经历过类似的事。’，我没有时间去听完所有人的故事，但我知道我们都在并肩作战——只是以不同的方式，不同的生涯，不同的困难。但我们一直都在一起，我觉得这是很有力量的。”林书豪说道。, 相关阅读：, ]",195586.0,0.0007532454632423728
7,sport,圣何塞水星报, 科尔：目标转变为建立球队风格，不会让格林库里上场过久 ,2019-08-07 14:00:16,2019-08-07 11:44:47,7,,"[虎扑8月7日讯 近日，美国男篮训练营在拉斯维加斯进行训练，美国队助教、勇士主教练史蒂夫-科尔接受了采访。, 谈到新赛季的执教时，科尔说：“下赛季的情况和过去几年不太一样。过去几年里，不考虑伤病的话，我知道我们将赢下很多比赛。球队的目标更多是为季后赛做准备，我们的胜场数是57场还是65场并不那么重要。能说出这样的话是一种极大的奢侈。现在球队加入了一些新球员，可能会经历一些失利，球队的目标转变为建立球队的风格。过去五年里我们知道我们是怎样的球队，而现在并非如此。这是一个全新的挑战。”, 谈到斯蒂芬-库里和德雷蒙德-格林的负担是否会加重时，科尔说：“在我们实际比赛之前，这是很难说的。但是我知道一点，我不会让他们一场比赛出场40分钟的。”, 2018-19赛季常规赛，斯蒂芬-库里场均上场33.8分钟，得到27.3分5.3篮板5.2助攻1.33抢断。德雷蒙德-格林场均出场31.3分钟，得到7.4分7.3篮板6.9助攻1.44抢断1.06盖帽。]",196542.0,0.00447998008888336
8,sport,The Athletic, 萨托兰斯基：加盟公牛是很好的选择，我能满足球队的需求 ,2019-08-07 14:00:17,2019-08-07 11:38:42,9,,"[虎扑8月7日讯 公牛新援托马什-萨托兰斯基近日接受了The Athletic记者Fred Katz采访。, 谈到今年夏天加盟公牛，萨托兰斯基说：“我并不介意奇才选择不匹配合同，说实话，我真的没有生气。我有点感觉这就是我想要的结果，去到一个新的地方，加盟一支新的球队，适应新的环境和新的城市。每个人表现得都很有风度，我无法说他们的坏话。但我认为对于我而言，情况可能比其他人更加艰难，我必须一直向别人证明自己。我始终感觉，‘兄弟，我已经做得足够多了。’所以，我感觉我需要一个全新的开始了。”, 回顾在奇才效力的时光，萨托兰斯基说：“过去三个赛季，我的确获得了一些机会，但这总是取决于别人的伤病，显然，这是因为约翰（沃尔）。我总是做好了准备，我的意思是，我认为我已经做得足够多了，但这还不够。我依旧有可提升空间，我深刻地理解了这一点。在我职业生涯的第一个赛季，我知道我是一名新秀，对于我而言，那种情况非常艰难，我知道每一位来自欧洲的球员都需要经历这种情况，我感觉我必须做得比其他人更多。”, “华盛顿的球迷们总是支持我，这是我想要提到的事情，即便是我没有出场，那些真正了解篮球的球迷也会支持我，我对此非常喜欢，我从未感觉到被反对。总而言之，过去三年的经历非常不可思议，有些时候，我会陷入挣扎，但大多数时候，我真的很喜欢在那里的时光。”萨托兰斯基说道。, 谈到公牛主教练吉姆-博伊兰，萨托兰斯基说：“我认为他理解我的比赛方式，我非常喜欢这位教练。”, 谈到加盟公牛的过程，萨托兰斯基说：“当芝加哥给我打来电话，并且提出报价时，我认真考虑了这支球队，关于他们的潜力，他们是一支非常年轻的球队，我认为我能够满足他们的需求，所以，我真的感觉这对于我而言是一个不错的选择。”, 谈到与昔日队友奥托-波特再次并肩作战，萨托兰斯基说：“他对此非常兴奋，我很期待再次并肩作战，我认为我们之间的化学反应会非常棒，我们在场下的关系也非常棒。”, 今年夏天，公牛与萨托兰斯基达成一份3年价值3000万美元的合同，其中第三年预计不是全额保障合同。, 2018-19赛季常规赛，萨托兰斯基场均出场27.1分钟，能够得到8.9分3.5篮板5助攻。]",196907.0,0.005953391026269106
9,sport,Twitter, 韦德赞哈斯勒姆：为你感到自豪，继续带领球队前行吧 ,2019-08-07 14:00:19,2019-08-07 11:21:56,8,,"[虎扑8月7日讯 今日前NBA球星德维恩-韦德更新了自己的个人推特动态，谈到了老队友犹多尼斯-哈斯勒姆。, “@犹多尼斯-哈斯勒姆 我为你感到自豪！继续带领球队前行吧。准备迎接你的第17个赛季！”韦德写道。, 此前。, 哈斯勒姆职业生涯至今16个赛季均在热火度过，他为热火出战855场常规赛，场均得到7.6分6.7篮板]",197913.0,0.005161652486370185
10,sport,Instagram, 偶遇球迷！魔术师旅行期间给当地球迷签名 ,2019-08-07 14:00:21,2019-08-07 11:21:26,8,,"[虎扑8月7日讯 前NBA球员魔术师约翰逊今天在个人Instagram上传了两张自己给球迷签名的照片（见新闻配图）。, “在切尔沃港的市中心，一个年轻人拿着我的球衣向我跑了过来求签名，非常特别的一天。”魔术师写道。, 根据此前的报道，魔术师近日正在意大利进行他的年度邮轮之旅。, ]",197943.0,0.005160244442960982
